													
MARKER_NAMES	Cntr1	Rad1	Cntr2	Rad2									
82	0.81	86.103	-45.276	209.198	83.559	-22.022	207.47	82.301	152.482	207.131	89.472	126.621	192.779
83	0.82	86.79	-38.168	209.042	84.452	-14.879	207.347	82.243	152.517	207.084	89.368	126.607	192.639
84	0.83	87.511	-31.152	208.928	85.339	-7.83	207.368	82.225	152.539	207.059	89.358	126.622	192.626
85	0.84	88.163	-24.211	208.952	86.248	-0.903	207.336	82.234	152.525	207.044	89.427	126.588	192.744
86	0.85	88.842	-17.375	209.004	87.154	5.982	207.351	82.214	152.547	207.019	89.529	126.563	192.827
87	0.86	89.575	-10.66	208.915	87.999	12.704	207.326	82.197	152.559	207.076	89.471	126.597	192.778
88	0.87	90.267	-4.044	208.919	88.881	19.316	207.426	82.189	152.559	207.091	89.462	126.619	192.793
89	0.88	90.924	2.4	208.952	89.724	25.765	207.416	82.175	152.527	207.149	89.439	126.558	192.812
90	0.89	91.553	8.707	208.968	90.593	32.089	207.408	82.169	152.497	207.165	89.478	126.5	192.836
91	0.9	92.169	14.904	208.85	91.401	38.244	207.36	82.142	152.459	207.129	89.438	126.514	192.73
92	0.91	92.753	21.024	208.744	92.202	44.417	207.384	82.131	152.446	207.035	89.403	126.504	192.708
93	0.92	93.317	27.016	208.783	92.994	50.403	207.363	82.109	152.407	207.081	89.413	126.461	192.666
94	0.93	93.902	32.943	208.851	93.757	56.353	207.405	82.103	152.384	207.097	89.412	126.476	192.638
95	0.94	94.539	38.804	208.719	94.549	62.189	207.322	82.089	152.451	207.056	89.439	126.515	192.703
96	0.95	95.028	44.602	208.779	95.319	67.996	207.314	82.071	152.479	207.112	89.452	126.568	192.671
97	0.96	95.69	50.245	208.749	96.096	73.613	207.436	82.081	152.508	207.152	89.464	126.575	192.767
98	0.97	96.235	55.832	208.797	96.872	79.2	207.425	82.079	152.546	207.151	89.478	126.568	192.891
99	0.98	97.796	59.206	208.768	98.167	82.492	207.634	80.97	154.69	207.42	88.668	129.071	192.498
100	0.99	100.089	60.526	208.633	99.911	83.845	207.363	79.014	158.784	207.18	87.352	132.378	192.931
101	1	102.403	61.856	208.585	101.571	85.161	207.371	77.055	162.82	206.987	86.127	135.762	192.859
102	1.01	104.648	63.173	208.58	103.268	86.442	207.404	75.095	166.756	207.05	85.014	139.547	192.636
103	1.02	106.857	64.472	208.503	104.905	87.759	207.517	73.145	170.717	207.002	83.761	143.278	192.364
104	1.03	109.014	65.825	208.546	107.705	89.25	209.402	71.197	174.641	207.013	82.453	146.978	192.075
105	1.04	111.173	67.115	208.541	110.044	90.519	210.842	69.243	178.474	207.142	80.204	151.293	190.338
106	1.05	113.308	68.377	208.586	111.114	92.646	212.723	67.391	182.221	207.093	79.281	154.992	190.091
107	1.06	115.301	69.665	208.626	112.255	93.58	213.327	65.412	185.953	207.139	78.364	158.579	189.776
108	1.07	117.234	70.93	208.638	114.555	93.913	211.699	63.539	189.621	207.088	77.388	162.333	189.442
109	1.08	119.183	72.123	208.517	116.104	94.995	211.466	61.567	193.23	207.116	76.298	166.568	189.375
110	1.09	121.081	73.339	208.462	117.499	96.037	211.598	59.691	196.774	207.062	75.425	171.776	188.927
111	1.1	122.925	74.55	208.361	118.81	97.079	211.591	57.849	200.276	206.977	64.624	176.863	207.396
112	1.11	124.702	75.746	208.327	120.204	98.112	211.672	55.936	203.734	207.008	63.631	180.562	207.386
113	1.12	126.42	76.914	208.373	121.358	99.067	211.761	54.126	207.093	207.067	62.648	184.277	207.389
114	1.13	128.106	78.045	208.4	122.471	99.968	211.898	52.408	210.456	207.015	61.713	187.934	207.426
