													
MARKER_NAMES	Rad1	Cntr1	Cntr2	Rad2									
	1	0	0	0	140.571	-36.951	207.686	124.933	160.142	208.396	138.114	179.167	208.054
102	1.01	152.478	-46.819	208.121	138.651	-27.098	207.646	124.953	160.12	208.422	138.081	179.163	208.113
103	1.02	151.104	-36.98	207.532	136.744	-17.255	207.648	124.999	160.101	208.431	138.136	179.127	208.108
104	1.03	149.339	-27.01	207.513	134.83	-7.404	207.665	124.99	160.107	208.446	138.161	179.131	208.092
105	1.04	147.532	-16.995	207.539	132.969	2.515	207.674	124.963	160.172	208.363	138.156	179.178	208.063
106	1.05	145.781	-7.047	207.509	131.059	12.347	207.723	124.971	160.187	208.375	138.18	179.189	208.074
107	1.06	144.094	2.848	207.489	129.142	22.068	207.887	125.02	160.151	208.466	138.21	179.158	208.167
108	1.07	142.315	12.699	207.524	127.235	31.756	207.986	124.991	160.171	208.455	138.219	179.179	208.207
109	1.08	140.531	22.507	207.465	125.262	41.39	208.068	124.978	160.194	208.387	138.198	179.176	208.127
110	1.09	138.758	32.242	207.342	125.567	52.222	211.243	124.986	160.141	208.498	138.146	179.179	208.132
111	1.1	137.036	41.935	207.311	124.08	61.633	211.782	125.025	160.085	208.469	138.175	179.115	208.063
112	1.11	135.276	51.64	207.178	121.118	69.164	215.094	125.02	160.034	208.458	138.152	179.088	208.053
113	1.12	133.499	61.409	207.154	119.186	78.714	215.762	124.941	160.077	208.3	138.149	179.106	207.998
114	1.13	131.785	71.146	207.058	117.332	88.245	216.139	124.914	160.097	208.317	138.122	179.133	207.986
115	1.14	130.142	80.796	207.082	115.55	98.086	215.661	124.97	160.1	208.366	138.145	179.107	208.121
116	1.15	128.388	90.475	207.242	109.516	107.085	222.011	124.913	160.156	208.37	138.156	179.111	208.189
117	1.16	125.22	95.066	207.291	112.243	113.358	211.834	125.457	164.695	208.166	139.618	183.009	208.324
118	1.17	120.947	95.635	207.198	108.883	114.628	211.602	127.025	172.497	208.371	142.255	189.777	208.224
119	1.18	116.559	96.104	207.25	105.483	115.767	211.321	128.343	180.425	208.011	144.879	196.487	208.083
120	1.19	112.179	96.622	207.127	102.066	116.814	211.155	129.616	188.385	207.905	147.329	203.088	208.037
121	1.2	107.726	97.242	207.11	98.453	118.166	210.623	130.658	196.463	207.52	149.698	209.508	207.903
122	1.21	103.206	97.993	207.159	94.754	119.559	210.017	131.678	204.558	207.003	151.897	215.887	207.82
123	1.22	98.725	98.79	207.18	89.77	121.275	207.806	133.031	212.374	207	154.028	222.154	207.848
124	1.23	94.234	99.662	207.315	86.495	122.634	207.824	134.367	220.182	207.029	156.059	228.304	207.921
125	1.24	89.751	100.651	207.381	83.263	124.018	207.858	135.723	227.964	207.034	157.95	234.447	207.901
126	1.25	85.268	101.691	207.313	80.087	125.367	207.74	137.084	235.7	206.988	159.751	240.546	207.731
127	1.26	80.777	102.747	207.307	76.838	126.729	207.77	138.441	243.417	206.934	161.407	246.505	207.69
128	1.27	76.276	103.864	207.335	73.638	128.049	207.691	139.786	251.049	206.86	162.888	252.379	207.681
129	1.28	71.693	105.07	207.28	70.327	129.401	207.709	141.086	258.519	206.786	164.149	258.102	207.668
130	1.29	67.131	106.376	207.225	67.132	130.752	207.606	142.245	266.037	206.711	165.281	263.838	207.585
